instance_id,n,scenario,time_scratch_sec,time_warm_sec,iter_scratch,iter_warm,speedup,status_scratch,status_warm
38,21,capacity,0.0004656000000977656,2.4700000722077675e-05,21,1,18.85020188204274,optimal,optimal
38,21,value,0.0005399999990913784,6.399999620043673e-06,21,0,84.37500486721802,optimal,optimal
38,21,volume,0.0003207000008842442,0.00027490000138641335,15,11,1.166606035892492,optimal,optimal
39,3,capacity,7.899999945948366e-05,5.699999746866524e-06,3,0,13.859649643478061,optimal,optimal
39,3,value,7.640000148967374e-05,5.40000110049732e-06,3,0,14.148145540681016,optimal,optimal
39,3,volume,5.760000021837186e-05,6.41999995423248e-05,2,2,0.8971962714796937,optimal,optimal
40,29,capacity,0.0004241999995429069,5.800000508315861e-06,14,0,73.1379245458172,optimal,optimal
40,29,value,0.0004019999996671686,4.19999923906289e-06,13,0,95.71430297612706,optimal,optimal
40,29,volume,0.00030390000029001385,3.690000085043721e-05,13,0,8.23577217577254,optimal,optimal
41,51,capacity,0.0008054000008996809,3.780000042752363e-05,16,1,21.306878089695424,optimal,optimal
41,51,value,0.0007860999994591111,4.8099998821271583e-05,15,2,16.343035732289227,optimal,optimal
41,51,volume,0.0004563999991660239,5.059999966761097e-05,15,0,9.01976288861846,optimal,optimal
42,34,capacity,0.00045510000018111896,5.800000508315861e-06,13,0,78.46551039583714,optimal,optimal
42,34,value,0.00048130000141100027,4.900000931229442e-06,12,0,98.22447141662867,optimal,optimal
42,34,volume,0.0003166999995301012,5.649999911838677e-05,12,0,5.605309813660469,optimal,optimal
43,25,capacity,0.0002544999988458585,5.899999450775795e-06,6,0,43.13559704016483,optimal,optimal
43,25,value,0.0002542000001994893,4.499999704421498e-06,6,0,56.48889264364257,optimal,optimal
43,25,volume,0.000167199999850709,3.370000013092067e-05,6,0,4.961424308639644,optimal,optimal
44,27,capacity,0.00030329999935929663,2.8399999791872688e-05,8,1,10.679577520493254,optimal,optimal
44,27,value,0.00030359999982465524,4.0000013541430235e-06,8,0,75.89997426130866,optimal,optimal
44,27,volume,0.0002096999996865634,3.300000025774352e-05,8,0,6.354545395415772,optimal,optimal
45,29,capacity,0.0004400999987410614,3.099999958067201e-05,13,1,14.196774344973106,optimal,optimal
45,29,value,0.0004101000013179146,4.19999923906289e-06,13,0,97.64287514714327,optimal,optimal
45,29,volume,0.00028790000033040997,4.039999839733355e-05,12,0,7.126237914638426,optimal,optimal
46,31,capacity,0.000459999999293359,3.060000017285347e-05,12,1,15.032679630552554,optimal,optimal
46,31,value,0.00040889999945648015,4.400000761961564e-06,12,0,92.9318019650043,optimal,optimal
46,31,volume,0.00029429999995045364,3.929999911633786e-05,12,0,7.488549785440243,optimal,optimal
47,27,capacity,0.0003957999997510342,2.829999903042335e-05,11,1,13.985866194749239,optimal,optimal
47,27,value,0.00035059999936493114,5.500000042957254e-06,10,0,63.74545393210936,optimal,optimal
47,27,volume,0.00026480000087758526,4.099999932805076e-05,10,0,6.458536712619368,optimal,optimal
48,48,capacity,0.0006909000003361143,2.719999974942766e-05,17,1,25.400735540471914,optimal,optimal
48,48,value,0.00065080000058515,4.800000169780105e-06,15,0,135.58332865954128,optimal,optimal
48,48,volume,0.00046830000064801425,4.9199999921256676e-05,16,0,9.51829271133163,optimal,optimal
49,41,capacity,0.0006212000007508323,2.849999873433262e-05,18,1,21.79649222238391,optimal,optimal
49,41,value,0.0006009999997331761,4.800000169780105e-06,17,0,125.20832884901934,optimal,optimal
49,41,volume,0.0004231999992043711,4.9700000090524554e-05,17,0,8.515090511741375,optimal,optimal
50,27,capacity,0.0003786000015679747,3.1099998523131944e-05,13,1,12.173634069029774,optimal,optimal
50,27,value,0.00040810000064084306,6.300000677583739e-06,14,0,64.77777091245696,optimal,optimal
50,27,volume,0.000295600000754348,3.980000110459514e-05,14,0,7.427135491215332,optimal,optimal
51,39,capacity,0.000528900000063004,6.000000212225132e-06,15,0,88.14999689255988,optimal,optimal
51,39,value,0.0005428999993455363,6.70000008540228e-06,14,0,81.0298496157317,optimal,optimal
51,39,volume,0.00034870000126829837,4.0899998566601425e-05,14,0,8.525672701442188,optimal,optimal
52,44,capacity,0.0007486000013159355,3.1099998523131944e-05,18,1,24.070740735216834,optimal,optimal
52,44,value,0.0006591000001208158,5.100000635138713e-06,17,0,129.2352780467623,optimal,optimal
52,44,volume,0.0004241999995429069,4.9899999794433825e-05,17,0,8.501002029868243,optimal,optimal
53,23,capacity,0.0003059999999095453,5.800000508315861e-06,11,0,52.7586160502593,optimal,optimal
53,23,value,0.00028139999994891696,4.599998646881431e-06,9,0,61.17393102706499,optimal,optimal
53,23,volume,0.00021689999994123355,3.640000068116933e-05,10,0,5.958791095667247,optimal,optimal
54,22,capacity,0.0002316999998583924,6.50000038149301e-06,6,0,35.64615173225149,optimal,optimal
54,22,value,0.0002316999998583924,4.499999704421498e-06,6,0,51.488892239422675,optimal,optimal
54,22,volume,0.00015000000166764949,4.6299999667098746e-05,6,0,3.2397408800467233,optimal,optimal
